id,vote_yes,bid,wet_percent,conseq_none,yea_say,province,income_group,age_group,education_group,gender,age_gender
1242,0,250,20%,1,0,Manitoba,"$0-$25,000",35 to 54 years,Some University/College,Man,35 to 54 years_Man
1251,0,865,10%,0,0,Alberta,"$100,000-$124,999",55 and over,Some University/College,Man,55 and over_Man
1274,1,50,20%,0,1,Alberta,"$75,000-$99,999",55 and over,Bachelors degree,Man,55 and over_Man
1282,1,430,20%,0,0,Manitoba,"$0-$25,000",55 and over,Some University/College,Man,55 and over_Man
1298,0,250,20%,0,0,Alberta,Missing,35 to 54 years,Bachelors degree,Man,35 to 54 years_Man
1309,1,50,10%,0,0,Alberta,"$150,000 and over",55 and over,Advanced degree,Woman,55 and over_Woman
1346,1,50,10%,0,0,Manitoba,"$50,000-$74,999",55 and over,Some University/College,Woman,55 and over_Woman
1388,0,50,20%,0,0,Alberta,"$150,000 and over",55 and over,Some University/College,Man,55 and over_Man
1427,0,125,20%,0,0,Alberta,"$150,000 and over",35 to 54 years,Bachelors degree,Woman,35 to 54 years_Woman
1429,0,250,20%,0,0,Alberta,Missing,18 to 34 years,Bachelors degree,Man,18 to 34 years_Man
1432,0,250,10%,0,0,Alberta,"$100,000-$124,999",55 and over,Advanced degree,Man,55 and over_Man
1437,0,50,20%,0,0,Manitoba,"$0-$25,000",55 and over,Some University/College,Woman,55 and over_Woman
1449,0,125,10%,0,0,Alberta,"$125,000-$149,999",35 to 54 years,Some University/College,Man,35 to 54 years_Man
1453,0,15,10%,1,0,Alberta,"$25,000-$49,999",35 to 54 years,Bachelors degree,Woman,35 to 54 years_Woman
1461,1,15,20%,0,1,Alberta,Missing,55 and over,Vocational/Trade/Technical School,Woman,55 and over_Woman
1487,1,125,20%,1,0,Alberta,Missing,55 and over,Bachelors degree,Woman,55 and over_Woman
1499,0,125,10%,1,0,Manitoba,Missing,55 and over,Some University/College,Woman,55 and over_Woman
1526,1,50,20%,0,1,Manitoba,"$0-$25,000",55 and over,High school or less,Woman,55 and over_Woman
1536,1,15,10%,0,0,Manitoba,Missing,35 to 54 years,Bachelors degree,Woman,35 to 54 years_Woman
1542,0,430,10%,0,0,Manitoba,"$0-$25,000",55 and over,Some University/College,Woman,55 and over_Woman
1543,0,430,20%,1,0,Alberta,Missing,18 to 34 years,Advanced degree,Man,18 to 34 years_Man
1567,0,250,20%,1,0,Manitoba,"$150,000 and over",55 and over,High school or less,Woman,55 and over_Woman
1596,1,50,20%,0,1,Alberta,"$100,000-$124,999",55 and over,Some University/College,Man,55 and over_Man
1607,0,250,20%,1,0,Alberta,"$50,000-$74,999",55 and over,Bachelors degree,Woman,55 and over_Woman
1612,1,125,20%,0,0,Alberta,"$75,000-$99,999",35 to 54 years,Bachelors degree,Woman,35 to 54 years_Woman
1639,0,430,10%,1,0,Manitoba,"$100,000-$124,999",35 to 54 years,Bachelors degree,Woman,35 to 54 years_Woman
1695,1,250,10%,0,1,Manitoba,"$75,000-$99,999",55 and over,Advanced degree,Woman,55 and over_Woman
1736,0,865,10%,0,0,Manitoba,"$100,000-$124,999",55 and over,Some University/College,Woman,55 and over_Woman
1770,0,865,20%,1,0,Alberta,Missing,55 and over,High school or less,Woman,55 and over_Woman
1792,1,125,10%,0,0,Alberta,Missing,55 and over,Bachelors degree,Woman,55 and over_Woman
1822,1,865,10%,0,0,Alberta,"$75,000-$99,999",35 to 54 years,Some University/College,Woman,35 to 54 years_Woman
1823,0,50,10%,1,0,Alberta,"$150,000 and over",55 and over,Advanced degree,Man,55 and over_Man
1836,0,50,10%,1,0,Manitoba,"$50,000-$74,999",55 and over,High school or less,Woman,55 and over_Woman
1865,1,250,10%,0,0,Alberta,"$75,000-$99,999",35 to 54 years,Some University/College,Man,35 to 54 years_Man
1891,1,250,10%,0,0,Alberta,"$150,000 and over",18 to 34 years,Advanced degree,Woman,18 to 34 years_Woman
1913,0,865,10%,1,0,Manitoba,Missing,55 and over,Bachelors degree,Woman,55 and over_Woman
1925,1,250,10%,1,1,Manitoba,"$50,000-$74,999",55 and over,Advanced degree,Woman,55 and over_Woman
1949,1,125,20%,0,0,Alberta,"$75,000-$99,999",18 to 34 years,Bachelors degree,Man,18 to 34 years_Man
1950,1,125,10%,0,0,Manitoba,"$50,000-$74,999",55 and over,Some University/College,Man,55 and over_Man
1960,1,50,10%,0,0,Manitoba,Missing,55 and over,Bachelors degree,Woman,55 and over_Woman
1976,1,250,10%,0,0,Manitoba,"$50,000-$74,999",35 to 54 years,Bachelors degree,Woman,35 to 54 years_Woman
1995,0,125,20%,1,0,Manitoba,"$25,000-$49,999",55 and over,High school or less,Man,55 and over_Man
2005,0,865,20%,0,0,Manitoba,"$50,000-$74,999",55 and over,Advanced degree,Man,55 and over_Man
2059,0,430,20%,1,0,Manitoba,Missing,55 and over,Bachelors degree,Woman,55 and over_Woman
2061,1,250,20%,1,0,Manitoba,"$100,000-$124,999",55 and over,Advanced degree,Man,55 and over_Man
2062,1,250,10%,0,1,Manitoba,Missing,55 and over,Some University/College,Woman,55 and over_Woman
2065,0,125,20%,0,0,Manitoba,Missing,55 and over,Some University/College,Woman,55 and over_Woman
2081,1,15,10%,1,1,Manitoba,"$75,000-$99,999",55 and over,Advanced degree,Man,55 and over_Man
2087,1,15,10%,0,1,Manitoba,"$50,000-$74,999",55 and over,Some University/College,Man,55 and over_Man
2096,0,865,20%,0,0,Alberta,"$100,000-$124,999",18 to 34 years,Advanced degree,Man,18 to 34 years_Man
2102,1,865,10%,0,1,Manitoba,"$75,000-$99,999",55 and over,Advanced degree,Man,55 and over_Man
2111,1,250,20%,0,0,Alberta,"$100,000-$124,999",18 to 34 years,Advanced degree,Woman,18 to 34 years_Woman
2113,1,430,20%,1,0,Manitoba,Missing,35 to 54 years,Advanced degree,Man,35 to 54 years_Man
2129,1,865,20%,1,1,Manitoba,"$75,000-$99,999",55 and over,Advanced degree,Woman,55 and over_Woman
2175,1,250,10%,0,1,Manitoba,"$150,000 and over",55 and over,Advanced degree,Man,55 and over_Man
2178,1,125,20%,0,1,Manitoba,"$25,000-$49,999",55 and over,Some University/College,Man,55 and over_Man
2202,1,15,20%,1,0,Manitoba,Missing,55 and over,Bachelors degree,Man,55 and over_Man
2206,0,250,10%,0,0,Manitoba,"$50,000-$74,999",55 and over,Advanced degree,Man,55 and over_Man
2214,1,865,10%,0,0,Manitoba,"$75,000-$99,999",55 and over,Bachelors degree,Woman,55 and over_Woman
2224,1,250,10%,1,0,Manitoba,"$50,000-$74,999",55 and over,Advanced degree,Woman,55 and over_Woman
2252,1,125,20%,0,0,Manitoba,"$100,000-$124,999",55 and over,Advanced degree,Man,55 and over_Man
2253,1,50,10%,0,1,Manitoba,"$50,000-$74,999",55 and over,High school or less,Woman,55 and over_Woman
2261,1,125,10%,0,0,Alberta,Missing,35 to 54 years,Some University/College,Woman,35 to 54 years_Woman
2373,0,250,10%,1,0,Manitoba,"$150,000 and over",55 and over,Advanced degree,Woman,55 and over_Woman
2383,0,430,20%,0,0,Manitoba,"$75,000-$99,999",55 and over,Bachelors degree,Man,55 and over_Man
2398,1,50,10%,1,0,Alberta,"$125,000-$149,999",55 and over,Advanced degree,Man,55 and over_Man
2420,1,15,10%,0,0,Saskatchewan,"$25,000-$49,999",55 and over,Advanced degree,Woman,55 and over_Woman
2438,0,15,20%,1,0,Manitoba,"$25,000-$49,999",55 and over,High school or less,Woman,55 and over_Woman
2449,0,15,20%,0,0,Alberta,"$75,000-$99,999",35 to 54 years,Some University/College,Woman,35 to 54 years_Woman
2463,0,865,20%,1,0,Alberta,"$125,000-$149,999",55 and over,High school or less,Man,55 and over_Man
2469,1,15,20%,0,0,Alberta,"$25,000-$49,999",55 and over,High school or less,Woman,55 and over_Woman
2483,0,15,20%,0,0,Alberta,"$25,000-$49,999",35 to 54 years,Bachelors degree,Woman,35 to 54 years_Woman
2491,0,430,10%,1,0,Alberta,"$25,000-$49,999",55 and over,Bachelors degree,Man,55 and over_Man
2493,1,250,10%,0,0,Alberta,"$100,000-$124,999",18 to 34 years,Some University/College,Woman,18 to 34 years_Woman
2505,1,250,20%,1,1,Manitoba,"$50,000-$74,999",35 to 54 years,Bachelors degree,Woman,35 to 54 years_Woman
2508,0,50,20%,1,0,Manitoba,"$25,000-$49,999",55 and over,Some University/College,Woman,55 and over_Woman
2510,1,250,10%,0,0,Manitoba,"$100,000-$124,999",55 and over,Bachelors degree,Man,55 and over_Man
2540,1,50,10%,1,0,Manitoba,"$100,000-$124,999",35 to 54 years,Bachelors degree,Man,35 to 54 years_Man
2543,1,50,10%,0,0,Manitoba,"$125,000-$149,999",35 to 54 years,High school or less,Woman,35 to 54 years_Woman
2613,1,250,10%,1,0,Manitoba,"$0-$25,000",55 and over,Advanced degree,Woman,55 and over_Woman
2618,0,250,10%,0,0,Manitoba,"$100,000-$124,999",55 and over,Bachelors degree,Woman,55 and over_Woman
2634,0,430,20%,1,0,Alberta,"$100,000-$124,999",55 and over,Some University/College,Woman,55 and over_Woman
2660,1,50,20%,0,0,Alberta,"$150,000 and over",18 to 34 years,Bachelors degree,Man,18 to 34 years_Man
2694,0,125,20%,0,0,Manitoba,"$50,000-$74,999",55 and over,High school or less,Man,55 and over_Man
2716,0,250,20%,0,0,Alberta,"$25,000-$49,999",55 and over,High school or less,Woman,55 and over_Woman
2718,0,865,20%,0,0,Alberta,"$75,000-$99,999",18 to 34 years,Advanced degree,Man,18 to 34 years_Man
2736,0,865,20%,0,0,Manitoba,Missing,55 and over,Advanced degree,Man,55 and over_Man
2746,1,50,10%,0,0,Manitoba,Missing,55 and over,Some University/College,Woman,55 and over_Woman
2747,0,430,10%,0,0,Alberta,Missing,55 and over,Bachelors degree,Man,55 and over_Man
2818,1,50,20%,0,1,Manitoba,"$75,000-$99,999",55 and over,Some University/College,Woman,55 and over_Woman
2839,1,430,10%,0,0,Manitoba,"$50,000-$74,999",55 and over,Some University/College,Woman,55 and over_Woman
2858,1,50,10%,1,0,Manitoba,"$25,000-$49,999",55 and over,Advanced degree,Man,55 and over_Man
2862,0,125,10%,0,0,Alberta,"$150,000 and over",55 and over,Vocational/Trade/Technical School,Man,55 and over_Man
2875,0,250,10%,1,0,Manitoba,"$75,000-$99,999",35 to 54 years,Vocational/Trade/Technical School,Man,35 to 54 years_Man
2913,0,430,20%,0,0,Manitoba,"$25,000-$49,999",55 and over,Some University/College,Woman,55 and over_Woman
2925,1,15,20%,1,0,Manitoba,"$75,000-$99,999",55 and over,Bachelors degree,Man,55 and over_Man
2950,0,865,10%,1,0,Manitoba,"$75,000-$99,999",55 and over,Some University/College,Man,55 and over_Man
2966,1,125,20%,1,0,Alberta,"$150,000 and over",55 and over,Advanced degree,Man,55 and over_Man
2974,0,430,10%,0,0,Alberta,Missing,55 and over,Advanced degree,Man,55 and over_Man
2984,1,125,20%,0,0,Manitoba,Missing,55 and over,Some University/College,Woman,55 and over_Woman
3022,0,50,20%,0,0,Alberta,"$125,000-$149,999",35 to 54 years,Some University/College,Man,35 to 54 years_Man
3026,1,50,20%,0,0,Alberta,"$75,000-$99,999",35 to 54 years,Bachelors degree,Woman,35 to 54 years_Woman
3042,0,250,10%,1,0,Alberta,"$125,000-$149,999",35 to 54 years,Some University/College,Woman,35 to 54 years_Woman
3052,0,430,20%,1,0,Alberta,"$50,000-$74,999",55 and over,Bachelors degree,Man,55 and over_Man
3057,0,430,20%,0,0,Manitoba,"$50,000-$74,999",55 and over,Bachelors degree,Woman,55 and over_Woman
3062,1,15,10%,0,0,Alberta,"$100,000-$124,999",18 to 34 years,Advanced degree,Woman,18 to 34 years_Woman
3067,0,250,10%,0,0,Alberta,"$75,000-$99,999",55 and over,High school or less,Man,55 and over_Man
3074,1,125,10%,1,0,Manitoba,"$150,000 and over",55 and over,Advanced degree,Woman,55 and over_Woman
3080,0,430,20%,0,0,Alberta,"$75,000-$99,999",55 and over,Some University/College,Woman,55 and over_Woman
3084,1,125,10%,1,0,Alberta,"$25,000-$49,999",55 and over,High school or less,Woman,55 and over_Woman
3099,1,430,20%,0,0,Manitoba,"$150,000 and over",35 to 54 years,Bachelors degree,Woman,35 to 54 years_Woman
3100,0,15,20%,0,0,Manitoba,Missing,35 to 54 years,Some University/College,Woman,35 to 54 years_Woman
3107,1,865,10%,0,0,Alberta,"$150,000 and over",55 and over,Bachelors degree,Man,55 and over_Man
3112,0,250,10%,0,0,Alberta,"$75,000-$99,999",35 to 54 years,Bachelors degree,Man,35 to 54 years_Man
3118,1,125,20%,0,0,Manitoba,"$25,000-$49,999",55 and over,High school or less,Woman,55 and over_Woman
3120,0,865,20%,1,0,Manitoba,Missing,55 and over,Some University/College,Woman,55 and over_Woman
3127,1,15,20%,0,0,Manitoba,"$75,000-$99,999",55 and over,Vocational/Trade/Technical School,Man,55 and over_Man
3134,0,430,10%,0,0,Manitoba,"$0-$25,000",55 and over,High school or less,Man,55 and over_Man
3143,0,250,20%,1,0,Manitoba,"$50,000-$74,999",35 to 54 years,Some University/College,Woman,35 to 54 years_Woman
3149,0,250,10%,0,0,Alberta,"$25,000-$49,999",35 to 54 years,Vocational/Trade/Technical School,Woman,35 to 54 years_Woman
3162,0,250,10%,1,0,Alberta,"$100,000-$124,999",55 and over,Some University/College,Woman,55 and over_Woman
3186,1,430,20%,0,1,Alberta,"$50,000-$74,999",55 and over,Bachelors degree,Man,55 and over_Man
3210,0,125,20%,1,0,Manitoba,Missing,55 and over,Bachelors degree,Woman,55 and over_Woman
3217,1,125,10%,0,1,Alberta,"$25,000-$49,999",55 and over,High school or less,Woman,55 and over_Woman
3228,0,865,10%,1,0,Alberta,"$100,000-$124,999",35 to 54 years,Bachelors degree,Man,35 to 54 years_Man
3236,0,125,10%,1,0,Alberta,"$125,000-$149,999",55 and over,High school or less,Woman,55 and over_Woman
3240,0,125,20%,0,0,Alberta,"$100,000-$124,999",55 and over,Some University/College,Man,55 and over_Man
3242,1,430,10%,0,0,Manitoba,"$25,000-$49,999",55 and over,Advanced degree,Woman,55 and over_Woman
3266,0,865,10%,0,0,Alberta,"$75,000-$99,999",35 to 54 years,Advanced degree,Woman,35 to 54 years_Woman
3267,1,125,10%,1,0,Manitoba,Missing,35 to 54 years,High school or less,Man,35 to 54 years_Man
3305,1,430,10%,0,1,Alberta,"$150,000 and over",55 and over,Advanced degree,Woman,55 and over_Woman
3306,1,250,10%,1,0,Manitoba,Missing,55 and over,Advanced degree,Woman,55 and over_Woman
3337,1,865,20%,0,1,Manitoba,"$75,000-$99,999",55 and over,Some University/College,Woman,55 and over_Woman
3368,1,50,10%,0,0,Manitoba,"$125,000-$149,999",35 to 54 years,Advanced degree,Man,35 to 54 years_Man
3371,0,15,20%,0,0,Alberta,"$50,000-$74,999",35 to 54 years,Advanced degree,Woman,35 to 54 years_Woman
3402,0,430,20%,0,0,Manitoba,"$50,000-$74,999",35 to 54 years,Some University/College,Woman,35 to 54 years_Woman
3416,0,865,20%,0,0,Manitoba,"$50,000-$74,999",55 and over,Advanced degree,Woman,55 and over_Woman
3461,1,50,20%,1,1,Alberta,"$75,000-$99,999",55 and over,Bachelors degree,Man,55 and over_Man
3471,1,865,20%,1,0,Manitoba,"$100,000-$124,999",55 and over,Bachelors degree,Woman,55 and over_Woman
3477,1,250,10%,0,0,Alberta,Missing,18 to 34 years,Some University/College,Woman,18 to 34 years_Woman
3495,1,250,10%,1,0,Alberta,"$75,000-$99,999",55 and over,Some University/College,Woman,55 and over_Woman
3510,1,125,20%,0,0,Manitoba,"$100,000-$124,999",35 to 54 years,Advanced degree,Man,35 to 54 years_Man
3547,1,250,20%,0,0,Alberta,"$150,000 and over",35 to 54 years,Advanced degree,Woman,35 to 54 years_Woman
3570,1,430,10%,0,1,Alberta,"$100,000-$124,999",55 and over,Advanced degree,Man,55 and over_Man
3620,0,865,10%,0,0,Manitoba,"$100,000-$124,999",55 and over,Some University/College,Woman,55 and over_Woman
3629,1,125,20%,1,0,Manitoba,"$150,000 and over",55 and over,Bachelors degree,Man,55 and over_Man
3656,0,865,20%,1,0,Alberta,"$150,000 and over",55 and over,Bachelors degree,Man,55 and over_Man
3657,0,50,10%,0,0,Alberta,"$25,000-$49,999",35 to 54 years,Vocational/Trade/Technical School,Woman,35 to 54 years_Woman
3681,1,430,20%,0,0,Alberta,"$125,000-$149,999",55 and over,Some University/College,Woman,55 and over_Woman
3692,1,125,10%,0,1,Manitoba,"$25,000-$49,999",55 and over,Advanced degree,Man,55 and over_Man
3766,1,125,20%,1,1,Alberta,Missing,55 and over,Advanced degree,Woman,55 and over_Woman
3768,1,865,20%,0,0,Manitoba,"$75,000-$99,999",55 and over,Bachelors degree,Man,55 and over_Man
3803,0,250,20%,0,0,Manitoba,"$125,000-$149,999",35 to 54 years,Advanced degree,Man,35 to 54 years_Man
3807,0,865,10%,0,0,Manitoba,Missing,55 and over,Bachelors degree,Man,55 and over_Man
3828,1,250,20%,0,1,Manitoba,"$75,000-$99,999",55 and over,Some University/College,Woman,55 and over_Woman
3844,1,430,20%,0,1,Alberta,"$150,000 and over",55 and over,Bachelors degree,Man,55 and over_Man
3854,1,250,20%,0,1,Manitoba,"$25,000-$49,999",55 and over,High school or less,Woman,55 and over_Woman
3879,1,250,10%,0,0,Manitoba,"$150,000 and over",35 to 54 years,Some University/College,Woman,35 to 54 years_Woman
3951,1,250,20%,0,1,Manitoba,"$100,000-$124,999",35 to 54 years,Vocational/Trade/Technical School,Man,35 to 54 years_Man
3957,1,125,10%,1,0,Manitoba,"$150,000 and over",35 to 54 years,Bachelors degree,Man,35 to 54 years_Man
3959,1,50,20%,0,0,Manitoba,"$25,000-$49,999",55 and over,High school or less,Man,55 and over_Man
3983,0,250,10%,1,0,Manitoba,"$25,000-$49,999",35 to 54 years,Vocational/Trade/Technical School,Man,35 to 54 years_Man
4015,1,50,10%,0,0,Manitoba,"$100,000-$124,999",55 and over,Advanced degree,Man,55 and over_Man
4023,1,125,10%,0,0,Manitoba,"$25,000-$49,999",55 and over,Vocational/Trade/Technical School,Man,55 and over_Man
4040,1,125,10%,0,0,Manitoba,"$25,000-$49,999",55 and over,Some University/College,Man,55 and over_Man
4051,1,125,20%,0,1,Manitoba,"$100,000-$124,999",55 and over,Advanced degree,Man,55 and over_Man
4055,1,125,10%,0,0,Alberta,"$0-$25,000",35 to 54 years,High school or less,Man,35 to 54 years_Man
4065,0,430,20%,0,0,Alberta,"$25,000-$49,999",35 to 54 years,High school or less,Man,35 to 54 years_Man
4096,1,125,20%,0,0,Manitoba,"$50,000-$74,999",55 and over,Advanced degree,Man,55 and over_Man
4116,0,865,10%,0,0,Alberta,"$100,000-$124,999",18 to 34 years,Bachelors degree,Woman,18 to 34 years_Woman
4142,0,125,20%,0,0,Manitoba,Missing,55 and over,Advanced degree,Man,55 and over_Man
4182,0,430,20%,1,0,Alberta,Missing,35 to 54 years,Advanced degree,Man,35 to 54 years_Man
4216,1,50,10%,0,1,Manitoba,"$25,000-$49,999",55 and over,High school or less,Man,55 and over_Man
4263,0,430,10%,0,0,Manitoba,"$25,000-$49,999",55 and over,High school or less,Woman,55 and over_Woman
4318,1,430,10%,0,0,Manitoba,"$25,000-$49,999",55 and over,Vocational/Trade/Technical School,Man,55 and over_Man
4324,0,430,10%,1,0,Manitoba,Missing,55 and over,High school or less,Woman,55 and over_Woman
