id,choice,sturgeon_1,sturgeon_2,sturgeon_3,waterfowl_1,waterfowl_2,waterfowl_3,muskrat_1,muskrat_2,muskrat_3,habitat_1,habitat_2,habitat_3,cost_1,cost_2,cost_3,vote_rw,province,gender,age_group,income_group,education_group,rw_vote,age_gender
292,1,35,100,10,25,50,25,5,5,70,45,30,85,0,130,50,1,Ontario,Woman,18 to 34 years,"$150,000 and over",Bachelors degree,0.403,18 to 34 years_Woman
292,2,35,100,10,25,75,25,5,5,70,45,30,60,0,50,130,1,Ontario,Woman,18 to 34 years,"$150,000 and over",Bachelors degree,0.403,18 to 34 years_Woman
292,3,35,60,60,25,25,75,5,70,5,45,85,30,0,215,50,1,Ontario,Woman,18 to 34 years,"$150,000 and over",Bachelors degree,0.403,18 to 34 years_Woman
292,1,35,100,10,25,85,25,5,40,20,45,60,45,0,345,130,1,Ontario,Woman,18 to 34 years,"$150,000 and over",Bachelors degree,0.403,18 to 34 years_Woman
292,3,35,60,60,25,85,15,5,40,40,45,60,45,0,345,25,1,Ontario,Woman,18 to 34 years,"$150,000 and over",Bachelors degree,0.403,18 to 34 years_Woman
327,1,35,10,60,25,85,25,5,70,5,45,30,85,0,50,85,0,Ontario,Woman,18 to 34 years,"$90,000-$149,999",Bachelors degree,0.403,18 to 34 years_Woman
327,2,35,100,10,25,15,75,5,5,70,45,30,85,0,85,130,0,Ontario,Woman,18 to 34 years,"$90,000-$149,999",Bachelors degree,0.403,18 to 34 years_Woman
327,2,35,100,10,25,85,25,5,20,70,45,60,30,0,345,50,0,Ontario,Woman,18 to 34 years,"$90,000-$149,999",Bachelors degree,0.403,18 to 34 years_Woman
327,2,35,60,35,25,85,50,5,5,40,45,85,45,0,50,215,0,Ontario,Woman,18 to 34 years,"$90,000-$149,999",Bachelors degree,0.403,18 to 34 years_Woman
327,3,35,35,35,25,50,25,5,20,70,45,60,60,0,345,85,0,Ontario,Woman,18 to 34 years,"$90,000-$149,999",Bachelors degree,0.403,18 to 34 years_Woman
327,3,35,35,100,25,50,75,5,40,5,45,60,30,0,345,50,0,Ontario,Woman,18 to 34 years,"$90,000-$149,999",Bachelors degree,0.403,18 to 34 years_Woman
330,1,35,35,35,25,85,15,5,40,20,45,30,85,0,130,85,0,British Columbia,Woman,45 to 54 years,"$50,000-$69,999",Some University/College,0.38,45 to 54 years_Woman
330,3,35,35,100,25,50,85,5,5,70,45,85,30,0,50,25,0,British Columbia,Woman,45 to 54 years,"$50,000-$69,999",Some University/College,0.38,45 to 54 years_Woman
330,3,35,100,35,25,25,85,5,20,70,45,45,85,0,345,25,0,British Columbia,Woman,45 to 54 years,"$50,000-$69,999",Some University/College,0.38,45 to 54 years_Woman
330,2,35,60,10,25,85,25,5,5,70,45,60,45,0,85,215,0,British Columbia,Woman,45 to 54 years,"$50,000-$69,999",Some University/College,0.38,45 to 54 years_Woman
330,2,35,100,35,25,25,85,5,70,5,45,85,30,0,25,85,0,British Columbia,Woman,45 to 54 years,"$50,000-$69,999",Some University/College,0.38,45 to 54 years_Woman
330,2,35,10,100,25,50,85,5,40,20,45,45,85,0,130,215,0,British Columbia,Woman,45 to 54 years,"$50,000-$69,999",Some University/College,0.38,45 to 54 years_Woman
366,2,35,35,100,25,85,15,5,70,20,45,85,45,0,85,85,0,Ontario,Woman,45 to 54 years,"$30,000-$49,999",Some University/College,0.403,45 to 54 years_Woman
366,2,35,100,10,25,85,15,5,20,20,45,85,45,0,345,25,0,Ontario,Woman,45 to 54 years,"$30,000-$49,999",Some University/College,0.403,45 to 54 years_Woman
366,1,35,60,60,25,25,85,5,40,40,45,85,30,0,50,345,0,Ontario,Woman,45 to 54 years,"$30,000-$49,999",Some University/College,0.403,45 to 54 years_Woman
366,1,35,35,60,25,75,15,5,5,70,45,85,30,0,85,345,0,Ontario,Woman,45 to 54 years,"$30,000-$49,999",Some University/College,0.403,45 to 54 years_Woman
366,1,35,100,35,25,75,75,5,70,5,45,85,30,0,345,25,0,Ontario,Woman,45 to 54 years,"$30,000-$49,999",Some University/College,0.403,45 to 54 years_Woman
366,2,35,60,100,25,15,85,5,5,70,45,45,60,0,25,345,0,Ontario,Woman,45 to 54 years,"$30,000-$49,999",Some University/College,0.403,45 to 54 years_Woman
374,3,35,60,100,25,75,25,5,5,70,45,30,85,0,50,345,0,Ontario,Woman,45 to 54 years,Missing,Advanced degree,0.403,45 to 54 years_Woman
374,2,35,100,10,25,50,50,5,5,70,45,85,45,0,345,25,0,Ontario,Woman,45 to 54 years,Missing,Advanced degree,0.403,45 to 54 years_Woman
374,2,35,100,10,25,25,75,5,5,70,45,45,60,0,25,25,0,Ontario,Woman,45 to 54 years,Missing,Advanced degree,0.403,45 to 54 years_Woman
374,3,35,35,60,25,85,25,5,40,40,45,60,60,0,25,345,0,Ontario,Woman,45 to 54 years,Missing,Advanced degree,0.403,45 to 54 years_Woman
374,3,35,100,10,25,15,85,5,70,5,45,30,60,0,25,85,0,Ontario,Woman,45 to 54 years,Missing,Advanced degree,0.403,45 to 54 years_Woman
374,2,35,60,10,25,25,50,5,40,20,45,45,85,0,345,25,0,Ontario,Woman,45 to 54 years,Missing,Advanced degree,0.403,45 to 54 years_Woman
409,2,35,100,10,25,85,25,5,20,70,45,60,45,0,345,50,1,Ontario,Man,45 to 54 years,"$150,000 and over",Advanced degree,0.403,45 to 54 years_Man
409,3,35,10,100,25,75,50,5,5,70,45,85,30,0,130,130,1,Ontario,Man,45 to 54 years,"$150,000 and over",Advanced degree,0.403,45 to 54 years_Man
409,3,35,10,100,25,50,15,5,20,40,45,30,60,0,25,345,1,Ontario,Man,45 to 54 years,"$150,000 and over",Advanced degree,0.403,45 to 54 years_Man
409,3,35,10,100,25,25,85,5,40,40,45,60,45,0,215,85,1,Ontario,Man,45 to 54 years,"$150,000 and over",Advanced degree,0.403,45 to 54 years_Man
409,2,35,100,10,25,15,85,5,20,20,45,30,85,0,50,215,1,Ontario,Man,45 to 54 years,"$150,000 and over",Advanced degree,0.403,45 to 54 years_Man
409,3,35,35,100,25,75,50,5,70,5,45,30,85,0,85,215,1,Ontario,Man,45 to 54 years,"$150,000 and over",Advanced degree,0.403,45 to 54 years_Man
446,2,35,35,100,25,85,15,5,70,20,45,85,45,0,85,85,1,Saskatchewan,Man,45 to 54 years,"$50,000-$69,999",Bachelors degree,0.657,45 to 54 years_Man
446,1,35,100,10,25,85,15,5,20,20,45,85,45,0,345,25,1,Saskatchewan,Man,45 to 54 years,"$50,000-$69,999",Bachelors degree,0.657,45 to 54 years_Man
446,2,35,60,60,25,25,85,5,40,40,45,85,30,0,50,345,1,Saskatchewan,Man,45 to 54 years,"$50,000-$69,999",Bachelors degree,0.657,45 to 54 years_Man
446,2,35,35,60,25,75,15,5,5,70,45,85,30,0,85,345,1,Saskatchewan,Man,45 to 54 years,"$50,000-$69,999",Bachelors degree,0.657,45 to 54 years_Man
446,2,35,35,100,25,75,75,5,5,70,45,30,85,0,25,345,1,Saskatchewan,Man,45 to 54 years,"$50,000-$69,999",Bachelors degree,0.657,45 to 54 years_Man
446,1,35,60,100,25,15,85,5,5,70,45,45,60,0,25,345,1,Saskatchewan,Man,45 to 54 years,"$50,000-$69,999",Bachelors degree,0.657,45 to 54 years_Man
453,2,35,60,60,25,75,50,5,5,70,45,85,30,0,50,215,1,British Columbia,Woman,18 to 34 years,Missing,Bachelors degree,0.38,18 to 34 years_Woman
453,1,35,60,100,25,25,75,5,20,70,45,85,30,0,215,85,1,British Columbia,Woman,18 to 34 years,Missing,Bachelors degree,0.38,18 to 34 years_Woman
453,1,35,60,10,25,25,85,5,20,70,45,45,85,0,130,85,1,British Columbia,Woman,18 to 34 years,Missing,Bachelors degree,0.38,18 to 34 years_Woman
453,3,35,35,100,25,50,50,5,70,20,45,85,30,0,345,25,1,British Columbia,Woman,18 to 34 years,Missing,Bachelors degree,0.38,18 to 34 years_Woman
453,1,35,10,100,25,75,15,5,5,70,45,60,60,0,130,130,1,British Columbia,Woman,18 to 34 years,Missing,Bachelors degree,0.38,18 to 34 years_Woman
453,1,35,10,35,25,15,25,5,20,20,45,45,60,0,215,345,1,British Columbia,Woman,18 to 34 years,Missing,Bachelors degree,0.38,18 to 34 years_Woman
485,1,35,35,60,25,75,15,5,40,5,45,30,60,0,345,85,0,Ontario,Woman,18 to 34 years,"$90,000-$149,999",Bachelors degree,0.403,18 to 34 years_Woman
485,1,35,100,10,25,15,85,5,5,70,45,45,85,0,85,85,0,Ontario,Woman,18 to 34 years,"$90,000-$149,999",Bachelors degree,0.403,18 to 34 years_Woman
485,2,35,10,60,25,75,15,5,70,5,45,45,60,0,25,215,0,Ontario,Woman,18 to 34 years,"$90,000-$149,999",Bachelors degree,0.403,18 to 34 years_Woman
485,1,35,100,35,25,85,15,5,70,20,45,45,85,0,130,130,0,Ontario,Woman,18 to 34 years,"$90,000-$149,999",Bachelors degree,0.403,18 to 34 years_Woman
485,3,35,35,100,25,75,25,5,5,70,45,60,45,0,215,50,0,Ontario,Woman,18 to 34 years,"$90,000-$149,999",Bachelors degree,0.403,18 to 34 years_Woman
485,2,35,35,60,25,85,15,5,70,20,45,85,30,0,50,215,0,Ontario,Woman,18 to 34 years,"$90,000-$149,999",Bachelors degree,0.403,18 to 34 years_Woman
490,2,35,35,35,25,15,85,5,20,40,45,85,30,0,85,130,0,Alberta,Man,55 to 64 years,"$150,000 and over",Bachelors degree,0.627,55 to 64 years_Man
490,2,35,100,35,25,85,50,5,70,5,45,30,85,0,25,50,0,Alberta,Man,55 to 64 years,"$150,000 and over",Bachelors degree,0.627,55 to 64 years_Man
490,2,35,35,100,25,85,25,5,70,20,45,85,45,0,25,345,0,Alberta,Man,55 to 64 years,"$150,000 and over",Bachelors degree,0.627,55 to 64 years_Man
490,3,35,10,60,25,25,85,5,70,5,45,45,60,0,215,85,0,Alberta,Man,55 to 64 years,"$150,000 and over",Bachelors degree,0.627,55 to 64 years_Man
490,3,35,35,100,25,85,25,5,5,70,45,30,85,0,85,25,0,Alberta,Man,55 to 64 years,"$150,000 and over",Bachelors degree,0.627,55 to 64 years_Man
490,2,35,10,100,25,50,85,5,40,20,45,45,85,0,130,215,0,Alberta,Man,55 to 64 years,"$150,000 and over",Bachelors degree,0.627,55 to 64 years_Man
527,3,35,10,60,25,85,25,5,70,5,45,30,85,0,50,85,0,Ontario,Woman,65 and over,"$0-$29,999",High school or less,0.403,65 and over_Woman
527,2,35,10,100,25,75,15,5,70,5,45,85,30,0,130,85,0,Ontario,Woman,65 and over,"$0-$29,999",High school or less,0.403,65 and over_Woman
527,2,35,100,10,25,85,25,5,20,70,45,60,30,0,345,50,0,Ontario,Woman,65 and over,"$0-$29,999",High school or less,0.403,65 and over_Woman
527,3,35,35,60,25,50,85,5,40,5,45,45,85,0,215,50,0,Ontario,Woman,65 and over,"$0-$29,999",High school or less,0.403,65 and over_Woman
527,3,35,35,35,25,50,25,5,20,70,45,60,60,0,345,85,0,Ontario,Woman,65 and over,"$0-$29,999",High school or less,0.403,65 and over_Woman
527,2,35,35,100,25,50,75,5,40,5,45,60,30,0,345,50,0,Ontario,Woman,65 and over,"$0-$29,999",High school or less,0.403,65 and over_Woman
573,2,35,60,60,25,75,50,5,5,70,45,85,30,0,50,215,1,British Columbia,Woman,55 to 64 years,"$150,000 and over",Advanced degree,0.38,55 to 64 years_Woman
573,2,35,60,100,25,25,75,5,20,70,45,85,30,0,215,85,1,British Columbia,Woman,55 to 64 years,"$150,000 and over",Advanced degree,0.38,55 to 64 years_Woman
573,2,35,60,10,25,25,85,5,20,70,45,45,85,0,130,85,1,British Columbia,Woman,55 to 64 years,"$150,000 and over",Advanced degree,0.38,55 to 64 years_Woman
573,3,35,35,100,25,50,50,5,70,20,45,85,30,0,345,25,1,British Columbia,Woman,55 to 64 years,"$150,000 and over",Advanced degree,0.38,55 to 64 years_Woman
573,3,35,10,100,25,75,15,5,5,70,45,60,60,0,130,130,1,British Columbia,Woman,55 to 64 years,"$150,000 and over",Advanced degree,0.38,55 to 64 years_Woman
573,3,35,10,35,25,15,25,5,20,20,45,45,60,0,215,345,1,British Columbia,Woman,55 to 64 years,"$150,000 and over",Advanced degree,0.38,55 to 64 years_Woman
646,1,35,100,35,25,15,85,5,20,70,45,45,85,0,85,85,0,Ontario,Man,45 to 54 years,"$90,000-$149,999",Vocational/Trade/Technical School,0.403,45 to 54 years_Man
646,2,35,10,100,25,15,85,5,20,20,45,45,85,0,25,345,0,Ontario,Man,45 to 54 years,"$90,000-$149,999",Vocational/Trade/Technical School,0.403,45 to 54 years_Man
646,3,35,60,60,25,85,25,5,40,40,45,30,85,0,345,50,0,Ontario,Man,45 to 54 years,"$90,000-$149,999",Vocational/Trade/Technical School,0.403,45 to 54 years_Man
646,3,35,60,35,25,15,75,5,70,5,45,30,85,0,345,85,0,Ontario,Man,45 to 54 years,"$90,000-$149,999",Vocational/Trade/Technical School,0.403,45 to 54 years_Man
646,2,35,100,35,25,75,75,5,70,5,45,85,30,0,345,25,0,Ontario,Man,45 to 54 years,"$90,000-$149,999",Vocational/Trade/Technical School,0.403,45 to 54 years_Man
646,2,35,60,100,25,15,85,5,5,70,45,45,60,0,25,345,0,Ontario,Man,45 to 54 years,"$90,000-$149,999",Vocational/Trade/Technical School,0.403,45 to 54 years_Man
648,3,35,35,100,25,85,15,5,5,70,45,45,85,0,130,85,0,Manitoba,Woman,65 and over,"$0-$29,999",High school or less,0.468,65 and over_Woman
648,2,35,60,60,25,15,85,5,40,40,45,85,30,0,50,345,0,Manitoba,Woman,65 and over,"$0-$29,999",High school or less,0.468,65 and over_Woman
648,1,35,35,100,25,50,75,5,70,20,45,85,30,0,215,25,0,Manitoba,Woman,65 and over,"$0-$29,999",High school or less,0.468,65 and over_Woman
648,3,35,60,10,25,75,15,5,70,20,45,45,60,0,345,25,0,Manitoba,Woman,65 and over,"$0-$29,999",High school or less,0.468,65 and over_Woman
648,2,35,60,10,25,15,75,5,70,5,45,30,85,0,130,50,0,Manitoba,Woman,65 and over,"$0-$29,999",High school or less,0.468,65 and over_Woman
648,3,35,60,35,25,50,25,5,40,5,45,45,85,0,345,25,0,Manitoba,Woman,65 and over,"$0-$29,999",High school or less,0.468,65 and over_Woman
686,1,35,35,100,25,85,15,5,70,20,45,85,45,0,85,85,0,Saskatchewan,Man,65 and over,"$50,000-$69,999",Vocational/Trade/Technical School,0.657,65 and over_Man
686,2,35,10,100,25,15,85,5,20,20,45,45,85,0,25,345,0,Saskatchewan,Man,65 and over,"$50,000-$69,999",Vocational/Trade/Technical School,0.657,65 and over_Man
686,1,35,60,60,25,85,25,5,40,40,45,30,85,0,345,50,0,Saskatchewan,Man,65 and over,"$50,000-$69,999",Vocational/Trade/Technical School,0.657,65 and over_Man
686,1,35,35,60,25,75,15,5,5,70,45,85,30,0,85,345,0,Saskatchewan,Man,65 and over,"$50,000-$69,999",Vocational/Trade/Technical School,0.657,65 and over_Man
686,1,35,35,100,25,75,75,5,5,70,45,30,85,0,25,345,0,Saskatchewan,Man,65 and over,"$50,000-$69,999",Vocational/Trade/Technical School,0.657,65 and over_Man
686,2,35,60,100,25,15,85,5,5,70,45,45,60,0,25,345,0,Saskatchewan,Man,65 and over,"$50,000-$69,999",Vocational/Trade/Technical School,0.657,65 and over_Man
765,1,35,35,60,25,75,15,5,40,5,45,30,60,0,345,85,0,Alberta,Man,45 to 54 years,"$90,000-$149,999",Some University/College,0.627,45 to 54 years_Man
765,1,35,10,100,25,85,15,5,70,5,45,85,45,0,85,85,0,Alberta,Man,45 to 54 years,"$90,000-$149,999",Some University/College,0.627,45 to 54 years_Man
765,1,35,60,10,25,15,75,5,5,70,45,60,45,0,215,25,0,Alberta,Man,45 to 54 years,"$90,000-$149,999",Some University/College,0.627,45 to 54 years_Man
765,1,35,100,35,25,85,15,5,70,20,45,45,85,0,130,130,0,Alberta,Man,45 to 54 years,"$90,000-$149,999",Some University/College,0.627,45 to 54 years_Man
765,1,35,100,35,25,25,75,5,70,5,45,45,60,0,50,215,0,Alberta,Man,45 to 54 years,"$90,000-$149,999",Some University/College,0.627,45 to 54 years_Man
765,1,35,35,60,25,85,15,5,70,20,45,85,30,0,50,215,0,Alberta,Man,45 to 54 years,"$90,000-$149,999",Some University/College,0.627,45 to 54 years_Man
770,2,35,35,35,25,85,15,5,40,20,45,30,85,0,130,85,0,British Columbia,Man,65 and over,"$150,000 and over",Advanced degree,0.38,65 and over_Man
770,3,35,35,100,25,50,85,5,5,70,45,85,30,0,50,25,0,British Columbia,Man,65 and over,"$150,000 and over",Advanced degree,0.38,65 and over_Man
770,2,35,35,100,25,85,25,5,70,20,45,85,45,0,25,345,0,British Columbia,Man,65 and over,"$150,000 and over",Advanced degree,0.38,65 and over_Man
770,3,35,10,60,25,25,85,5,70,5,45,45,60,0,215,85,0,British Columbia,Man,65 and over,"$150,000 and over",Advanced degree,0.38,65 and over_Man
770,2,35,100,35,25,25,85,5,70,5,45,85,30,0,25,85,0,British Columbia,Man,65 and over,"$150,000 and over",Advanced degree,0.38,65 and over_Man
770,2,35,100,10,25,85,50,5,20,40,45,85,45,0,215,130,0,British Columbia,Man,65 and over,"$150,000 and over",Advanced degree,0.38,65 and over_Man
774,2,35,60,100,25,75,25,5,5,70,45,30,85,0,50,345,0,British Columbia,Woman,65 and over,"$0-$29,999",Some University/College,0.38,65 and over_Woman
774,3,35,10,100,25,50,50,5,70,5,45,45,85,0,25,345,0,British Columbia,Woman,65 and over,"$0-$29,999",Some University/College,0.38,65 and over_Woman
774,2,35,100,10,25,25,75,5,5,70,45,45,60,0,25,25,0,British Columbia,Woman,65 and over,"$0-$29,999",Some University/College,0.38,65 and over_Woman
774,3,35,60,35,25,25,85,5,40,40,45,60,60,0,345,25,0,British Columbia,Woman,65 and over,"$0-$29,999",Some University/College,0.38,65 and over_Woman
774,3,35,10,100,25,85,15,5,5,70,45,60,30,0,85,25,0,British Columbia,Woman,65 and over,"$0-$29,999",Some University/College,0.38,65 and over_Woman
774,2,35,10,60,25,50,25,5,20,40,45,85,45,0,25,345,0,British Columbia,Woman,65 and over,"$0-$29,999",Some University/College,0.38,65 and over_Woman
806,1,35,35,100,25,85,15,5,70,20,45,85,45,0,85,85,0,Ontario,Man,18 to 34 years,Missing,Some University/College,0.403,18 to 34 years_Man
806,1,35,10,100,25,15,85,5,20,20,45,45,85,0,25,345,0,Ontario,Man,18 to 34 years,Missing,Some University/College,0.403,18 to 34 years_Man
806,1,35,60,60,25,25,85,5,40,40,45,85,30,0,50,345,0,Ontario,Man,18 to 34 years,Missing,Some University/College,0.403,18 to 34 years_Man
806,1,35,60,35,25,15,75,5,70,5,45,30,85,0,345,85,0,Ontario,Man,18 to 34 years,Missing,Some University/College,0.403,18 to 34 years_Man
806,1,35,35,100,25,75,75,5,5,70,45,30,85,0,25,345,0,Ontario,Man,18 to 34 years,Missing,Some University/College,0.403,18 to 34 years_Man
806,1,35,60,100,25,15,85,5,5,70,45,45,60,0,25,345,0,Ontario,Man,18 to 34 years,Missing,Some University/College,0.403,18 to 34 years_Man
808,3,35,100,35,25,15,85,5,70,5,45,85,45,0,85,130,1,Saskatchewan,Man,65 and over,"$90,000-$149,999",Vocational/Trade/Technical School,0.657,65 and over_Man
808,3,35,60,60,25,85,15,5,40,40,45,30,85,0,345,50,1,Saskatchewan,Man,65 and over,"$90,000-$149,999",Vocational/Trade/Technical School,0.657,65 and over_Man
808,2,35,100,35,25,75,50,5,20,70,45,30,85,0,25,215,1,Saskatchewan,Man,65 and over,"$90,000-$149,999",Vocational/Trade/Technical School,0.657,65 and over_Man
808,3,35,60,10,25,75,15,5,70,20,45,45,60,0,345,25,1,Saskatchewan,Man,65 and over,"$90,000-$149,999",Vocational/Trade/Technical School,0.657,65 and over_Man
808,2,35,10,60,25,75,15,5,5,70,45,85,30,0,50,130,1,Saskatchewan,Man,65 and over,"$90,000-$149,999",Vocational/Trade/Technical School,0.657,65 and over_Man
808,2,35,35,60,25,25,50,5,5,40,45,85,45,0,25,345,1,Saskatchewan,Man,65 and over,"$90,000-$149,999",Vocational/Trade/Technical School,0.657,65 and over_Man
811,3,35,10,100,25,85,15,5,5,70,45,30,85,0,130,215,0,New Brunswick,Man,45 to 54 years,"$30,000-$49,999",Bachelors degree,0.397,45 to 54 years_Man
811,2,35,100,35,25,85,15,5,40,20,45,85,30,0,215,25,0,New Brunswick,Man,45 to 54 years,"$30,000-$49,999",Bachelors degree,0.397,45 to 54 years_Man
811,2,35,100,10,25,15,75,5,20,40,45,85,30,0,50,130,0,New Brunswick,Man,45 to 54 years,"$30,000-$49,999",Bachelors degree,0.397,45 to 54 years_Man
811,3,35,10,35,25,15,75,5,5,40,45,60,30,0,50,345,0,New Brunswick,Man,45 to 54 years,"$30,000-$49,999",Bachelors degree,0.397,45 to 54 years_Man
811,3,35,10,100,25,50,50,5,40,5,45,30,85,0,215,85,0,New Brunswick,Man,45 to 54 years,"$30,000-$49,999",Bachelors degree,0.397,45 to 54 years_Man
811,3,35,35,100,25,50,75,5,40,5,45,45,45,0,215,25,0,New Brunswick,Man,45 to 54 years,"$30,000-$49,999",Bachelors degree,0.397,45 to 54 years_Man
812,3,35,100,10,25,15,75,5,70,20,45,30,85,0,215,50,0,Ontario,Man,65 and over,"$50,000-$69,999",Vocational/Trade/Technical School,0.403,65 and over_Man
812,2,35,100,10,25,50,25,5,5,70,45,30,85,0,130,50,0,Ontario,Man,65 and over,"$50,000-$69,999",Vocational/Trade/Technical School,0.403,65 and over_Man
812,2,35,100,10,25,75,25,5,5,70,45,30,60,0,50,130,0,Ontario,Man,65 and over,"$50,000-$69,999",Vocational/Trade/Technical School,0.403,65 and over_Man
812,3,35,60,60,25,25,75,5,70,5,45,85,30,0,215,50,0,Ontario,Man,65 and over,"$50,000-$69,999",Vocational/Trade/Technical School,0.403,65 and over_Man
812,2,35,10,100,25,25,85,5,20,40,45,45,60,0,130,345,0,Ontario,Man,65 and over,"$50,000-$69,999",Vocational/Trade/Technical School,0.403,65 and over_Man
812,2,35,60,60,25,15,85,5,40,40,45,45,60,0,25,345,0,Ontario,Man,65 and over,"$50,000-$69,999",Vocational/Trade/Technical School,0.403,65 and over_Man
846,2,35,100,35,25,15,85,5,20,70,45,45,85,0,85,85,0,Alberta,Man,45 to 54 years,Missing,Vocational/Trade/Technical School,0.627,45 to 54 years_Man
846,3,35,100,10,25,85,15,5,20,20,45,85,45,0,345,25,0,Alberta,Man,45 to 54 years,Missing,Vocational/Trade/Technical School,0.627,45 to 54 years_Man
846,3,35,60,60,25,85,25,5,40,40,45,30,85,0,345,50,0,Alberta,Man,45 to 54 years,Missing,Vocational/Trade/Technical School,0.627,45 to 54 years_Man
846,3,35,35,60,25,75,15,5,5,70,45,85,30,0,85,345,0,Alberta,Man,45 to 54 years,Missing,Vocational/Trade/Technical School,0.627,45 to 54 years_Man
846,2,35,100,35,25,75,75,5,70,5,45,85,30,0,345,25,0,Alberta,Man,45 to 54 years,Missing,Vocational/Trade/Technical School,0.627,45 to 54 years_Man
846,2,35,60,100,25,15,85,5,5,70,45,45,60,0,25,345,0,Alberta,Man,45 to 54 years,Missing,Vocational/Trade/Technical School,0.627,45 to 54 years_Man
